control_1	control_2	control_3	heat_1	heat_2	heat_3
YAL063C-A	3.22729680806988	2.96173758305392	3.04305712759921	3.38979902679413	3.2099760415907	3.0141516669375
YAL064W-B	4.05697557596706	3.52972736233326	4.0580122712722	3.94998634553367	3.83322701800467	4.41208806647104
YAL067C	5.67438675910002	5.78010060053883	5.92389425547783	6.42198947425963	6.17195981762598	6.10281814461944
YAR002C-A	12.5322232852567	12.7680556462669	12.6264894047226	11.6981599534273	11.8226386754067	11.6048143087173
YAR002W	11.0534704186656	10.9154187060654	10.9933460043404	10.3586189793593	10.2833083442527	10.6371120545995
YAR003W	10.1568833227259	10.3397353062019	10.0761101887994	9.68911898536986	9.59584888726883	9.59412258275858
YAR007C	11.1554840928232	11.1666381570696	11.0774029909614	11.7949498874469	11.7278121185221	11.6592103311595
YAR008W	8.6449947830956	8.4996869004872	8.78493594874412	7.82380489408993	7.90839593255692	8.09552282699353
YAR014C	11.1459277716623	11.1192725113101	11.0539121349846	10.4323513488957	10.5254862774995	10.6028692950505
YAR015W	12.9474177840561	13.6289432681732	12.7301735935001	11.0992717627794	10.9789021674105	11.1144395542547
YAR018C	9.47516423279058	9.49242173827068	9.66728698991966	9.18220835518136	9.23675792619676	9.38623076293348
YAR019C	9.79417208583962	9.8436245435482	9.89491200535622	10.3697992781623	10.4076699803426	10.2180342690871
YAR020C	4.02128404241073	3.92202209374728	3.81583439489309	4.25006774125807	4.23621301647719	4.19965471501159
YAR023C	6.91552163322983	6.90361713692278	6.96042712127614	7.74167307812926	7.84166237056744	7.29322795409885
YAR027W	9.84774095591708	10.038951906979	9.76546841365063	10.7035191586621	10.6848306937741	10.3999137718212
YAR028W	9.30254963402438	9.1406131011179	8.74633562639088	9.19053219043363	9.11092901290545	8.99731943838012
YAR029W	5.91416728683051	5.78609501310114	5.82002703849253	6.35906478416649	5.95444587905623	5.724650503218
YAR030C	3.20776227981172	3.39130044188658	3.27684332514485	3.66936161300219	3.59678639060097	3.22975930977791
YAR031W	8.16518491246066	7.8152580126281	7.65712340999329	8.40615518460294	8.33674054602773	8.25838804052901
YAR033W	8.50686657076462	8.41237421398095	8.04484904354289	8.30419487945769	8.44546767123793	8.29908647318663
YAR035W	7.17984435507181	7.89389962409787	7.47951776756501	7.81479967750003	8.45863711269154	8.28769844371818
YAR042W	11.4887687346547	11.5827560682457	11.1976337863537	11.779333913677	12.0091672815242	11.7832980867773
YAR050W	8.34222603309317	8.68125274415154	8.4303122553117	7.83540006397476	7.80924314537646	7.80704375500009
YAR053W	3.20165799601373	3.42976846948756	3.386745074268	3.29217387893125	3.02070136712539	3.35178601453361
YAR060C	6.18058490714835	6.40423148023741	6.20145489080272	6.11792687564467	5.83570632534199	6.10047543069862
YAR061W	3.89873191383449	3.688455696993	3.51868771189376	3.60636628437438	4.11384874682457	3.88088295971024
YAR071W	11.5408912174383	10.961541872412	11.1264740752157	9.53360581475498	9.62356795561358	9.62305296103416
YAR073W	3.93608172556004	3.53032283583272	4.69022280396016	2.93892234775129	3.11352870070486	2.87983578542052
YBL001C	10.3540396876467	10.3670526089744	10.1674764358394	11.2404496933827	11.1820894934103	11.1079354432335
YBL002W	13.3048480369147	13.4658740365684	13.2025689286106	11.2868712612914	11.3397121878466	11.332770858355
YBL003C	12.270423947378	12.2808887147163	12.0748501291124	10.8162642677173	10.6249715763256	10.6340631368084
YBL004W	11.678272798286	11.4357276191077	11.5017136714865	9.16612123838717	9.57383587659439	9.54391491979875
YBL005W	10.5583892349626	10.3011691364039	10.0366087592868	10.5385537138022	10.5319616182916	10.5925648368669
YBL006C	10.0190895449893	9.9192981570698	9.84907091101348	10.0069442552833	9.89494507582464	9.87268515027212
YBL007C	12.5989220656413	12.7752166712647	12.5534010963799	12.9894279141014	13.070748403139	12.9212305348778
YBL008W	9.68263832377913	9.72824557560039	9.67308216746328	9.95850608758914	9.98766278624779	10.0100662694878
YBL009W	10.3374487488408	10.3826677656405	10.3513719832547	8.57762114011323	8.72002561578729	8.98597910947791
YBL010C	8.38352278624613	8.26896678415005	8.38161559341518	7.98946635043045	7.83239100394524	8.00115664158921
YBL011W	11.632332093428	11.8539048868849	11.7962936806932	11.7945273125272	11.9833958242892	11.6660602307853
YBL013W	6.67375186714402	7.0608132305583	6.83071625020474	6.83798611035318	7.08059081422677	6.95268213332814
YBL014C	10.0998999937391	9.99531875072948	10.0683701711392	9.89070496595157	9.92026049568336	9.9063503712487
YBL015W	10.5635947667332	10.6244563185969	10.6582397700722	11.4236589723215	11.4523869807531	11.1555539916359
YBL016W	10.2866511457647	10.5215762658489	10.0765825607784	9.24410557278515	9.56305385835462	9.48642509944387
YBL017C	12.3104340404023	12.392403573146	12.1945181127355	11.9571340146382	11.9283740660238	12.0094394416538
YBL018C	8.16767506004082	7.5640796956396	8.01192119225665	7.00231736360821	6.64056916010763	6.68015161770181
YBL019W	8.91098315810895	8.81349474025891	8.94240819320169	9.46617603633073	9.33460256663456	9.4947257872654
YBL020W	10.6913887071856	10.7916467487577	10.7531999810918	10.2647549284232	10.2221542072569	10.1907223882654
